line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
60,T0020,P060,,5,331.55
61,T0020,P015,PROMO_01,3,663.69
62,T0020,P039,PROMO_02,-8,1421.16
63,T0020,P069,,3,1032.18
64,T0021,P076,,-3,65.61
65,T0021,P084,,2,918.62
66,T0021,P079,,7,546.84
67,T0021,P036,,1,315.92
68,T0022,P031,PROMO_08,6,1701.73
69,T0022,P048,,9,3820.5
70,T0022,P083,PROMO_04,6,73.15
71,T0022,P025,,2,870.78
72,T0023,P083,,10,203.2
73,T0023,P007,PROMO_02,6,1925.1
74,T0024,P098,PROMO_02,9,714.69
75,T0025,P077,PROMO_02,1,256.01
76,T0025,P017,PROMO_02,9,3030.82
77,T0026,P002,,-6,1013.76
78,T0026,P031,,10,4363.4
79,T0027,P017,,7,3143.07
80,T0028,P058,,6,1261.14
81,T0028,P014,,8,3506.48
82,T0028,P079,,1,78.12
83,T0028,P085,,9,115.29
84,T0029,P062,,7,2176.72
85,T0030,P010,,2,635.7
86,T0030,P019,PROMO_08,2,408.33
87,T0030,P082,,-10,804.4
88,T0030,P042,,7,3444.7
89,T0031,P065,,10,4170.4
90,T0031,P090,,2,786.86
91,T0031,P084,,9,4133.79
92,T0031,P028,,7,209.3
93,T0032,P059,,7,2346.33
94,T0032,P013,,6,950.46
95,T0032,P086,,5,2161.55
96,T0033,P012,PROMO_01,-2,384.39
97,T0034,P072,,1,385.79
98,T0034,P072,,-9,3472.11
99,T0035,P086,,7,3026.17
100,T0035,P093,,1,35.92
101,T0035,P077,,5,1706.75
102,T0036,P020,PROMO_02,8,1158.0
103,T0036,P045,,9,1259.91
104,T0037,P029,,7,1704.57
105,T0037,P099,,10,2216.4
106,T0037,P083,PROMO_04,9,109.73
107,T0037,P004,PROMO_03,-3,587.14
108,T0037,P044,PROMO_03,6,489.14
109,T0038,P019,PROMO_08,1,204.17
110,T0039,P059,PROMO_03,6,1709.47
111,T0039,P093,,6,215.52
112,T0039,P073,PROMO_02,10,1661.1
113,T0039,P020,,3,579.0
114,T0040,P057,,7,867.02
115,T0040,P057,PROMO_08,7,563.56
116,T0040,P015,,6,2654.76
117,T0041,P068,PROMO_07,5,650.28
118,T0041,P077,PROMO_03,1,290.15
119,T0041,P028,,3,89.7
120,T0041,P038,PROMO_05,6,948.56
121,T0042,P017,,7,3143.07
122,T0042,P030,,9,2143.53
123,T0043,P051,,1,212.08
124,T0044,P074,,7,397.81
125,T0044,P091,PROMO_07,7,637.4
126,T0044,P003,PROMO_08,6,1653.21
127,T0045,P056,PROMO_08,2,439.31
128,T0046,P051,,5,1060.4
129,T0047,P010,,9,2860.65
130,T0047,P068,PROMO_04,9,739.26
131,T0048,P014,PROMO_03,3,1117.69
132,T0048,P078,,3,841.14
133,T0049,P099,,8,1773.12
134,T0049,P073,,-10,2214.8
135,T0050,P081,PROMO_02,6,1658.48
136,T0050,P061,,8,3716.64
137,T0050,P036,PROMO_08,-10,2053.48
138,T0051,P058,PROMO_03,1,178.66
139,T0051,P010,,2,635.7
140,T0051,P065,,7,2919.28
141,T0051,P071,,1,212.36
142,T0052,P078,,8,2243.04
143,T0052,P008,PROMO_04,8,1090.8
144,T0052,P092,,2,925.72
145,T0053,P091,,8,766.8
146,T0053,P068,,-9,1232.1
147,T0054,P050,,7,14.56
148,T0054,P087,PROMO_08,10,1658.74
149,T0054,P083,PROMO_02,6,91.44
150,T0055,P033,,10,3252.9
151,T0055,P043,,2,340.62
152,T0055,P019,,6,1884.6
153,T0056,P077,,2,682.7
154,T0056,P049,,6,645.96
155,T0057,P083,,7,142.24
156,T0058,P024,,4,1752.2
157,T0058,P099,PROMO_02,8,1329.84
158,T0058,P020,PROMO_02,2,289.5
159,T0059,P005,,6,883.8
160,T0059,P080,,3,1216.74
161,T0059,P020,PROMO_08,3,376.35
162,T0059,P099,,10,2216.4
163,T0059,P022,PROMO_03,8,395.49
164,T0060,P079,,5,390.6
165,T0060,P058,,4,840.76
166,T0060,P040,,8,384.56
167,T0060,P025,,6,2612.34
168,T0061,P099,,5,1108.2
169,T0061,P065,,9,3753.36
170,T0061,P021,,4,1942.28
171,T0061,P018,PROMO_03,5,1084.81
172,T0062,P092,,9,4165.74
173,T0063,P035,,8,926.64
174,T0063,P019,PROMO_02,7,1649.03
175,T0064,P054,,1,292.5
176,T0065,P011,PROMO_03,6,970.78
177,T0065,P013,,6,950.46
178,T0065,P018,PROMO_03,1,216.96
179,T0065,P090,,3,1180.29
180,T0066,P001,PROMO_02,2,317.82
181,T0066,P020,,9,1737.0
182,T0066,P078,,9,2523.42
183,T0066,P100,PROMO_02,5,162.41
184,T0066,P007,,4,1711.2
185,T0067,P015,,8,3539.68
186,T0068,P031,PROMO_02,3,981.76
187,T0068,P079,PROMO_03,6,398.41
188,T0068,P024,,2,876.1
189,T0068,P047,,2,999.28
190,T0068,P070,,9,1136.79
191,T0069,P050,PROMO_03,8,14.14
192,T0070,P046,,2,861.62
193,T0071,P095,PROMO_03,6,1702.28
194,T0071,P070,,6,757.86
195,T0071,P023,,8,1179.68
196,T0071,P062,,3,932.88
197,T0071,P009,PROMO_02,8,1069.68
198,T0072,P041,,5,1030.7
199,T0073,P005,PROMO_02,4,441.9
200,T0073,P084,PROMO_09,6,1515.72
201,T0073,P048,,7,2971.5
202,T0074,P044,,3,287.73
203,T0074,P064,,6,2638.56
204,T0074,P067,,5,340.05
205,T0074,P094,PROMO_08,7,1510.74
206,T0075,P042,PROMO_08,2,639.73
207,T0075,P038,,5,1216.1
208,T0075,P092,PROMO_03,7,2754.02
209,T0076,P094,,6,1992.18
210,T0077,P010,,7,2224.95
211,T0078,P019,,-10,3141.0
212,T0079,P009,,4,713.12
213,T0079,P047,,6,2997.84
214,T0080,P020,,8,1544.0
215,T0080,P048,,8,3396.0
216,T0080,P074,,3,170.49
217,T0080,P051,,6,1272.48
218,T0080,P032,PROMO_02,2,547.86
219,T0081,P072,PROMO_03,2,655.84
220,T0081,P091,PROMO_08,8,498.42
221,T0081,P037,PROMO_03,8,1127.98
222,T0081,P010,PROMO_08,8,1652.82
223,T0082,P086,,6,2593.86
224,T0082,P071,PROMO_03,9,1624.55
225,T0082,P021,,3,1456.71
226,T0083,P026,PROMO_05,3,743.91
227,T0084,P074,,6,340.98
228,T0084,P071,,3,637.08
229,T0084,P012,,2,768.78
230,T0084,P092,,8,3702.88
231,T0084,P099,,7,1551.48
232,T0085,P083,,2,40.64
233,T0085,P088,,9,3947.76
234,T0085,P100,,9,389.79
235,T0086,P065,,1,417.04
236,T0086,P067,,3,204.03
237,T0086,P021,,6,2913.42
238,T0086,P029,,-6,1461.06
239,T0087,,,4,1301.16
240,T0088,P081,,5,1842.75
241,T0088,P012,,9,3459.51
242,T0089,P022,,10,581.6
243,T0089,P078,,6,1682.28
244,T0090,P011,,-1,190.35
245,T0091,P084,,4,1837.24
246,T0091,P054,,10,2925.0
247,T0091,P064,PROMO_03,9,3364.16
248,T0092,P039,PROMO_02,8,1421.16
249,T0092,P021,,8,3884.56
250,T0092,P060,,4,265.24
251,T0092,P019,,6,1884.6
252,T0093,P017,,6,2694.06
253,T0093,P014,PROMO_02,6,1972.39
254,T0093,P035,PROMO_02,8,694.98
255,T0093,P007,,5,2139.0
256,T0094,P021,,6,2913.42
257,T0094,P093,PROMO_02,6,161.64
258,T0095,P064,,5,2198.8
259,T0095,P012,,7,2690.73
260,T0095,P031,,4,1745.36
261,T0095,P007,PROMO_06,1,278.07
262,T0096,P069,,1,344.06
263,T0096,P056,,3,1013.79
264,T0096,P094,,6,1992.18
265,T0097,P007,,10,4278.0
266,T0097,P047,PROMO_07,9,4271.92
267,T0097,P065,,8,3336.32
268,T0097,P999,,10,3159.2
269,T0098,P051,,6,1272.48
270,T0099,P097,PROMO_08,3,555.71
271,T0099,P052,PROMO_02,9,1006.15
272,T0099,P018,,6,1531.5
273,T0100,P078,PROMO_08,9,1640.22
274,T0100,P041,,3,618.42
275,T0101,P044,,9,863.19
276,T0101,P069,,8,2752.48
277,T0101,P039,,8,1894.88
278,T0101,P048,,6,2547.0
279,T0101,P054,,10,2925.0
280,T0102,P061,,5,2322.9
281,T0102,P100,,10,433.1
282,T0102,P093,,1,35.92
283,T0102,P022,,9,523.44
284,T0102,P080,PROMO_08,7,1845.39
285,T0103,P090,PROMO_03,2,668.83
286,T0103,P041,PROMO_08,7,937.94
287,T0103,P027,,-7,1713.67
288,T0103,P079,,8,624.96
289,T0103,P095,,1,333.78
290,T0104,P042,,8,3936.8
291,T0104,P041,,3,618.42
292,T0104,P069,,6,2064.36
293,T0104,P087,,5,1275.95
294,T0104,P025,PROMO_03,4,1480.33
295,T0105,P091,,4,383.4
296,T0105,P063,,6,644.16
297,T0105,P072,PROMO_08,5,1253.82
298,T0106,P051,,6,1272.48
299,T0106,P019,PROMO_08,5,1020.83
300,T0106,P011,,6,1142.1
301,T0106,P084,,5,2296.55
302,T0107,P035,,9,1042.47
303,T0107,P018,,2,510.5
304,T0107,P076,PROMO_08,4,56.86
305,T0107,P068,,4,547.6
306,T0107,P007,,2,855.6
307,T0108,P088,PROMO_08,3,855.35
308,T0109,P062,,4,1243.84
309,T0109,P037,PROMO_02,6,746.46
310,T0109,P099,,2,443.28
311,T0109,P030,,9,2143.53
312,T0110,P023,,1,147.46
313,T0110,P051,PROMO_08,8,1102.82
314,T0110,P038,PROMO_06,1,158.09
315,T0110,P078,,-2,560.76
316,T0111,P083,,9,182.88
317,T0111,P018,,9,2297.25
318,T0111,P025,,2,870.78
319,T0111,P094,,8,2656.24
320,T0112,P095,,6,2002.68
321,T0113,P079,,7,546.84
322,T0113,P066,PROMO_08,6,1276.59
323,T0114,P062,PROMO_99,6,1865.76
324,T0114,P001,,5,1059.4
325,T0115,P039,,10,2368.6
326,T0115,P002,,5,844.8
327,T0115,P089,PROMO_02,4,60.27
328,T0116,P052,,9,1341.54
329,T0116,P091,,5,479.25
330,T0117,P079,PROMO_02,4,234.36
331,T0117,P062,,3,932.88
332,T0117,P078,,6,1682.28
333,T0118,P086,,4,1729.24
334,T0118,P088,,10,4386.4
335,T0118,P011,,9,1713.15
336,T0118,P091,PROMO_08,6,373.81
337,T0118,P015,,1,442.46
338,T0119,P069,PROMO_09,3,567.7
339,T0119,P067,PROMO_02,8,408.06
340,T0119,P092,,10,4628.6
341,T0119,P066,,8,2618.64
342,T0119,P059,,3,1005.57
343,T0120,P072,,8,3086.32
344,T0121,P033,,1,325.29
345,T0121,P075,PROMO_03,2,709.68
346,T0121,P090,,2,786.86
347,T0121,P008,,2,454.5
348,T0122,P053,,3,814.68
349,T0122,P099,,7,1551.48
350,T0122,P049,,8,861.28
351,T0123,P088,PROMO_03,9,3355.6
352,T0124,P051,PROMO_02,9,1431.54
353,T0124,P001,,1,211.88
354,T0124,P060,,9,596.79
355,T0124,P049,PROMO_03,4,366.04
356,T0124,P020,PROMO_08,5,627.25
357,T0125,P085,,7,89.67
358,T0126,P009,,2,356.56
359,T0126,P058,,10,2101.9
360,T0127,P052,PROMO_03,8,1013.61
361,T0128,P065,PROMO_08,5,1355.38
362,T0128,P074,,6,340.98
363,T0129,P039,,3,710.58
364,T0129,P067,,4,272.04
365,T0130,P076,,3,65.61
366,T0130,P055,,9,368.82
367,T0130,P045,,7,979.93
368,T0130,P041,,7,1442.98
369,T0130,P039,PROMO_08,7,1077.71
370,T0131,P039,,3,710.58
371,T0131,P008,,9,2045.25
372,T0132,P018,PROMO_02,7,1340.06
373,T0132,P043,,2,340.62
374,T0132,P048,,2,849.0
375,T0132,P025,PROMO_08,1,283.0
376,T0132,P078,PROMO_02,10,2102.85
377,T0133,P028,PROMO_03,8,203.32
378,T0133,P039,PROMO_02,1,177.65
379,T0133,P095,,2,667.56
380,T0133,P097,,8,2279.84
381,T0133,P090,,10,3934.3
382,T0134,P042,,-5,2460.5
383,T0134,P069,,6,2064.36
384,T0134,P047,,9,4496.76
385,T0134,P060,,2,132.62
386,T0134,P093,,-8,287.36
387,T0135,P041,PROMO_02,7,1082.23
388,T0135,P095,PROMO_08,3,650.87
389,T0135,P075,,10,4174.6
390,T0136,P043,,4,681.24
391,T0136,P032,,8,2921.92
392,T0137,P098,,8,847.04
393,T0137,P083,,8,162.56
394,T0137,P094,PROMO_08,6,1294.92
395,T0138,P070,,1,126.31
396,T0138,P010,,1,317.85
397,T0139,P009,PROMO_08,3,347.65
398,T0139,P059,PROMO_08,6,1307.24
399,T0140,P085,PROMO_08,8,66.61
400,T0140,P071,PROMO_08,7,966.24
401,T0140,P093,,5,179.6
402,T0140,P037,,1,165.88
403,T9999,P014,,2,876.62
404,T0141,P031,,-4,1745.36
405,T0142,P051,,2,424.16
406,T0142,P052,,8,1192.48
407,T0142,P090,PROMO_02,4,1180.29
408,T0143,P052,,7,1043.42
409,T0144,P090,PROMO_03,3,1003.25
410,T0145,P013,,9,1425.69
411,T0145,P030,,4,952.68
412,T0145,P089,,10,200.9
413,T0145,P006,,2,705.16
414,T0145,P036,,9,2843.28
415,T0146,P003,,4,1695.6
416,T0146,P097,,7,1994.86
417,T0146,P039,,3,710.58
418,T0147,P043,,7,1192.17
419,T0147,P018,,2,510.5
420,T0147,P045,PROMO_02,1,104.99
421,T0147,P010,,6,1907.1
422,T0147,P079,,10,781.2
423,T0148,P082,,-5,402.2
424,T0149,P046,,9,3877.29
425,T0149,P056,,3,1013.79
426,T0150,P099,PROMO_02,10,1662.3
427,T0151,P035,,3,347.49
428,T0152,P041,PROMO_02,6,927.63
429,T0152,P040,,8,384.56
430,T0152,P035,PROMO_02,-2,173.75
431,T0152,P056,,8,2703.44
432,T0153,P004,,2,460.5
433,T0154,P042,PROMO_03,7,2928.0
434,T0154,P050,,2,4.16
435,T0154,P072,,4,1543.16
436,T0154,P022,PROMO_03,7,346.05
437,T0154,P039,,5,1184.3
438,T0155,P036,PROMO_02,7,1658.58
439,T0155,P047,,5,2498.2
440,T0155,P093,,8,287.36
441,T0155,P026,PROMO_03,8,2594.13
442,T0156,P080,,7,2839.06
443,T0156,P043,,8,1362.48
444,T0156,P084,PROMO_03,10,3904.14
445,T0157,P041,,3,618.42
446,T0157,P041,,-5,1030.7
447,T0157,P082,,8,643.52
448,T0157,P032,,6,2191.44
449,T0158,P073,,4,885.92
450,T0159,P004,,8,1842.0
451,T0159,P027,,8,1958.48
452,T0159,P089,,2,40.18
453,T0159,P053,PROMO_03,8,1846.61
454,T0159,P031,,5,2181.7
455,T0160,P010,,8,2542.8
456,T0160,P062,,10,3109.6
457,T0160,P065,,7,2919.28
458,T0160,P047,,9,4496.76
459,T0161,P085,PROMO_08,6,49.96
460,T0161,P006,,10,3525.8
461,T0162,P056,PROMO_04,2,405.52
462,T0162,P029,,9,2191.59
463,T0162,P072,,10,3857.9
464,T0163,P051,,8,1696.64
465,T0163,P076,PROMO_02,9,147.62
466,T0163,P062,PROMO_02,2,466.44
467,T0164,P040,,6,288.42
468,T0164,P027,,9,2203.29
469,T0164,P061,,2,929.16
470,T0165,P009,PROMO_08,-5,579.41
471,T0165,P015,,1,442.46
472,T0165,P083,,2,40.64
473,T0166,P023,PROMO_08,9,862.64
474,T0166,P055,PROMO_03,8,278.66
475,T0166,P081,PROMO_08,3,718.67
476,T0166,P056,PROMO_08,7,1537.58
477,T0166,P026,,8,3051.92
478,T0167,P027,,5,1224.05
479,T0167,P009,PROMO_08,10,1158.82
480,T0168,P026,PROMO_08,8,1983.75
481,T0168,P063,,9,966.24
482,T0168,P041,,10,2061.4
483,T0169,P045,,6,839.94
484,T0170,P079,PROMO_02,10,585.9
485,T0170,P041,PROMO_02,2,309.21
486,T0170,P024,,6,2628.3
487,T0171,P077,,3,1024.05
488,T0171,P055,,3,122.94
489,T0171,P069,,3,1032.18
490,T0171,P063,PROMO_04,5,322.08
491,T0172,P046,,1,430.81
492,T0173,P065,,8,3336.32
493,T0173,P063,,7,751.52
494,T0173,P057,PROMO_08,8,644.07
495,T0173,P004,PROMO_03,4,782.85
496,T0173,P029,PROMO_07,9,2082.01
497,T0174,P066,,2,654.66
498,T0174,P035,,9,1042.47
499,T0174,P047,,9,4496.76
500,T0174,P006,,8,2820.64
501,T0174,P055,,2,81.96
502,T0175,P005,PROMO_02,8,883.8
503,T0175,P057,,2,247.72
504,T0175,P031,,-4,1745.36
505,T0176,P081,PROMO_02,7,1934.89
506,T0176,P027,,4,979.24
507,T0176,P073,,6,1328.88
508,T0176,P077,PROMO_08,9,1996.9
509,T0176,P038,,5,1216.1
510,T0177,P097,,7,1994.86
511,T0177,P036,,3,947.76
512,T0178,P092,,6,2777.16
513,T0178,P098,,7,741.16
514,T0179,P049,PROMO_02,8,645.96
515,T0179,P052,,9,1341.54
516,T0179,P089,,6,120.54
517,T0179,P063,,6,644.16
518,T0180,P082,,-6,482.64
519,T0180,P069,PROMO_05,7,1565.47
520,T0180,P028,PROMO_03,8,203.32
521,T0180,P044,,9,863.19
522,T0181,P088,PROMO_08,1,285.12
523,T0181,P059,PROMO_02,1,251.39
524,T0181,P057,PROMO_03,8,842.25
525,T0182,P021,PROMO_08,5,1578.1
526,T0182,P033,,2,650.58
527,T0182,P084,PROMO_08,3,895.65
528,T0183,P084,,2,918.62
529,T0183,P001,,4,847.52
530,T0183,P017,PROMO_08,10,2918.56
531,T0183,P057,PROMO_03,1,105.28
532,T0184,P062,PROMO_02,2,466.44
533,T0184,P094,PROMO_03,-2,564.45
534,T0185,P100,,3,129.93
535,T0185,P087,PROMO_08,3,497.62
536,T0185,P002,,10,1689.6
537,T0185,P057,,6,743.16
538,T0186,P079,,8,624.96
539,T0186,P012,PROMO_01,2,384.39
540,T0186,P076,,7,153.09
541,T0186,P055,,6,245.88
542,T0187,P032,,9,3287.16
543,T0188,P100,,-1,43.31
544,T0188,P085,PROMO_08,5,41.63
545,T0188,P066,,4,1309.32
546,T0189,P064,PROMO_03,7,2616.57
547,T0189,P082,PROMO_02,10,603.3
548,T0190,P050,,10,20.8
549,T0190,P070,,3,378.93
550,T0191,P076,PROMO_02,2,32.8
551,T0192,P065,,5,2085.2
552,T0192,P065,,7,2919.28
553,T0192,P052,,2,298.12
554,T0192,P069,PROMO_01,10,1720.3
555,,P027,,3,734.43
556,T0193,P051,,10,2120.8
557,T0193,P084,,2,918.62
558,T0193,P056,PROMO_02,4,1013.79
559,T0193,P056,,2,675.86
560,T0194,P086,PROMO_08,3,843.0
561,T0194,P018,PROMO_03,1,216.96
562,T0194,P067,,9,612.09
563,T0195,P048,,3,1273.5
564,T0195,P035,,2,231.66
565,T0196,P035,PROMO_08,9,677.61
566,T0196,P074,,2,113.66
567,T0196,P066,PROMO_08,6,1276.59
568,T0196,P022,PROMO_02,6,261.72
569,T0197,P095,PROMO_02,9,2253.01
570,T0197,P032,,1,365.24
571,T0198,P005,,9,1325.7
572,T0198,P092,PROMO_02,7,2430.01
573,T0199,P010,,10,3178.5
574,T0199,P065,PROMO_08,1,271.08
575,T0199,P006,PROMO_03,7,2097.85
576,T0200,P012,,9,3459.51
577,T0200,P048,PROMO_03,4,1443.3
578,T0200,P095,PROMO_03,10,2837.13
