transaction_id,customer_id,store_id,transaction_date,total_amount
T0128,CUST0097,S002,2025-05-06 11:02:00.000000,1696.36
T0129,CUST0099,S011,2025-01-05 22:14:37.000000,982.62
T0130,CUST0036,S002,2025-06-21 20:08:25.000000,3935.05
T0131,CUST0061,S008,2025-02-17 15:49:37.000000,2755.83
T0132,CUST0054,S018,2025-07-31 20:50:39.000000,4915.53
T0133,CUST0025,S019,2025-01-19 05:07:58.000000,7262.67
T0134,CUST0051,S008,2025-11-10 03:27:34.000000,9441.6
T0135,CUST0041,S007,2025-03-05 12:19:30.000000,5907.7
T0136,CUST0038,S005,2025-10-09 09:12:43.000000,3603.16
T0137,CUST0088,S011,2025-01-16 14:11:21.000000,2304.52
T0138,CUST0070,S016,2024-12-20 02:02:20.000000,444.16
T0139,CUST0053,S005,2024-12-15 12:19:04.000000,1654.89
T0140,CUST0086,S020,2025-01-25 18:57:48.000000,1378.33
T0141,CUST0090,S014,2025-09-26 04:17:05.000000,2621.98
T0142,CUST0033,S012,2025-03-21 19:36:03.000000,2796.93
T0143,CUST0084,S002,2025-07-11 10:39:48.000000,1043.42
T0144,CUST0061,S002,2025-09-09 05:14:34.000000,1003.25
T0145,CUST0083,S011,2025-10-08 10:55:39.000000,6127.71
T0146,CUST0005,S006,2025-07-01 09:50:43.000000,4401.04
T0147,CUST0073,S013,2025-11-15 02:35:16.000000,4495.96
T0148,CUST0100,S011,2025-03-14 10:29:48.000000,402.2
T0149,CUST0058,S016,2025-05-11 21:39:28.000000,4891.08
T0150,CUST0085,S013,2025-01-09 15:30:40.000000,1662.3
T0151,CUST0092,S003,2025-05-23 09:01:58.000000,347.49
T0152,CUST0082,S005,2025-08-16 19:23:42.000000,4189.38
T0153,CUST0066,S014,2025-03-20 10:47:11.000000,460.5
T0154,CUST0012,S020,2025-08-21 02:26:30.000000,6005.67
T0155,CUST0009,S006,2025-04-27 16:06:08.000000,7038.27
T0156,CUST0001,S013,2025-03-08 01:58:10.000000,8105.68
T0157,CUST0078,S007,2025-06-04 17:11:23.000000,4484.08
T0158,CUST0051,S012,2025-06-20 01:26:38.000000,885.92
T0159,CUST0070,S006,2025-06-02 02:57:22.000000,7868.97
T0160,CUST0092,S014,2025-05-11 08:39:34.000000,13068.44
T0161,CUST0011,S004,2024-12-23 14:13:24.000000,3575.76
T0162,CUST0087,S013,2025-07-12 14:33:24.000000,6455.01
T0163,CUST0029,S015,2024-12-07 19:58:49.000000,2310.7
T0164,CUST0015,S005,2025-11-02 18:28:23.000000,3420.87
T0165,CUST0090,S015,2025-05-09 03:15:00.000000,1062.51
T0166,CUST0022,S008,2025-09-03 14:48:12.000000,6449.47
T0167,CUST0050,S001,2025-03-27 12:42:21.000000,2382.87
T0168,CUST0024,S012,2025-07-14 19:28:12.000000,5011.39
T0169,CUST0051,S019,2025-02-27 14:02:56.000000,839.94
T0170,CUST0080,S006,2024-12-02 09:31:45.000000,3523.41
T0171,CUST0066,S013,2024-12-27 19:40:45.000000,2501.25
T0172,CUST0058,S020,2025-02-19 06:10:52.000000,430.81
T0173,CUST0025,S013,2025-08-11 05:22:02.000000,7596.77
T0174,CUST0073,S016,2025-10-13 00:09:00.000000,9096.49
T0175,CUST0084,S008,2025-10-22 13:02:58.000000,2876.88
T0176,CUST0076,S012,2025-07-03 17:41:43.000000,7456.01
T0177,CUST0066,S004,2025-07-08 08:50:00.000000,2942.62
T0178,CUST0017,S008,2024-11-30 09:48:45.000000,3518.32
T0179,CUST0074,S009,2025-09-15 08:32:04.000000,2752.2
T0180,CUST0100,S003,2025-08-10 10:34:10.000000,3114.62
T0181,CUST0073,S016,2025-10-07 08:39:07.000000,1378.76
T0182,CUST0026,S005,2025-03-07 00:28:33.000000,3124.33
T0183,CUST0040,S008,2025-07-04 03:27:44.000000,4789.98
T0184,CUST0016,S014,2024-12-07 23:26:14.000000,1030.89
T0185,CUST0039,S005,2025-09-14 17:08:33.000000,3060.31
T0186,CUST0081,S005,2025-09-12 01:23:15.000000,1408.32
T0187,CUST0032,S009,2025-01-29 09:20:49.000000,3287.16
T0188,CUST0093,S020,2025-05-24 01:50:11.000000,1394.26
T0189,CUST0038,S002,2025-06-11 21:32:40.000000,3219.87
T0190,CUST0047,S011,2025-08-02 08:57:34.000000,399.73
T0191,CUST0099,S003,2025-05-13 02:19:40.000000,32.8
T0192,CUST0006,S002,2025-11-13 02:52:06.000000,7022.9
T0193,CUST0040,S003,2025-03-10 09:03:29.000000,5463.5
T0194,CUST0078,S002,2025-01-31 20:03:09.000000,1672.05
T0195,CUST0093,S009,2026-02-08 14:12:40.182696,1505.16
T0196,CUST0004,S011,2025-05-10 15:11:37.000000,2329.58
T0197,CUST0074,S004,2025-07-26 21:04:24.000000,2618.25
T0198,CUST0050,S005,2025-10-04 13:45:50.000000,3755.71
T0199,CUST0054,S011,2025-06-01 07:40:03.000000,5547.43
T0200,CUST0037,S010,2024-12-27 18:53:31.000000,7739.94
T0152,CUST0082,S005,2025-08-16 19:23:42.000000,4189.38
T0127,CUST0007,S008,2025-02-07 04:15:35.000000,1013.61
T0198,CUST0050,S005,2025-10-04 13:45:50.000000,3755.71
